id_cadre,id_livre
1,6050894
2,39030
3,39030
4,550844
5,228345
6,228345
7,7831145
9,93729
10,7129468
11,19286623
12,922119
13,13151
14,13151
15,13151
16,7893
17,226425
19,47241
20,37451
21,6503152
22,6503152
23,6420
24,10222362
25,8296
26,545875
27,6064646
28,15815333
29,11237412
30,127028
31,153193
32,153193
33,13438524
38,13438524
43,15814479
44,45169
45,13325079
52,126507
54,126507
56,1724365
58,762053
59,649361
60,11746102
61,11746102
62,50695
64,12882349
66,12882349
68,3157877
69,563457
70,628283
71,238126
73,32940867
74,32940867
75,747746
76,747746
77,129117
82,19476
83,233044
84,24384
88,24384
92,38225791
93,456
94,774032
97,774032
100,71622
101,24804
102,10402992
105,10402992
108,3630983
109,228534
111,8608453
112,17204860
113,17204860
114,572692
115,6100797
116,47922
117,22875451
118,17305783
119,561402
120,228128
121,343738
122,10283764
123,10283764
124,438923
125,26480
128,2330877
129,59821
130,128109
133,6569211
134,8999892
135,15719561
136,18193486
137,15739817
138,77844
139,199531
140,6972157
141,6972157
142,12878300
144,23016364
145,21899705
146,13260545
147,15781
148,165856
152,165856
156,5820384
157,362002
158,14404
162,8922087
163,18138948
164,10552338
165,24849026
166,30839185
167,30839185
168,30839185
169,44107480
172,6006822
173,6006822
174,170529
179,406422
180,406422
181,406422
182,11106249
184,13414323
185,20903622
186,18811324
187,25053346
188,28091259
189,32284715
190,35297469
192,32956365
193,45294613
194,6566722
195,7776678
196,205821
198,781653
199,21278
200,7074259
201,5723653
202,5723653
203,18295852
204,18295852
205,18295852
206,18295852
207,18295852
208,18295852
209,18295852
210,22892122
211,23019022
212,29776603
213,6455256
214,882053
215,882053
216,882053
217,882053
218,11436
219,89716
225,105999
231,328064
232,381364
233,6941324
234,6273
235,3993839
236,3993839
237,3993839
238,12384681
239,12384681
240,5082616
241,18487180
242,21468450
243,18188319
244,6344832
245,26245853
246,26245853
247,102142
248,605015
249,144538
250,144538
251,144538
252,7824997
254,10720733
255,2437710
256,6987527
257,6987527
258,6184241
259,46969
260,13059477
261,40884817
262,40884817
263,40884817
264,40884817
265,17978443
266,13455542
269,22587134
270,22587134
271,26252659
272,24849422
273,40227501
274,25903764
276,65399
277,65399
278,272614
279,169651
280,56083
281,7778609
282,9722219
283,179734
284,7789774
285,7789774
286,449
287,3241366
288,7187640
289,7187640
290,16157776
291,17181677
292,11889938
294,862311
295,23353850
296,8542839
297,25816447
298,859887
299,13343752
300,20926065
301,29589074
302,248533
303,65053
