id_genre,libelle_genre
1,historical-fiction
2,literature-fiction
3,mystery-thrillers
4,romance
5,fiction
6,memoir
7,young-adult
8,fantasy
9,horror
10,nonfiction
11,science-fiction-fantasy
12,children-s
13,poetry
14,gay-male-romances
15,gay-lesbian
16,gay-and-lesbian
17,humor-and-comedy
18,gay-romance
19,contemporary
20,mystery
21,science-fiction
22,outdoors-nature
23,autobiography
24,children-s-books
25,crime
26,non-fiction
27,history
28,philosophy
29,catholicism
30,short-stories
31,suspense
32,theatre
33,political-satire
34,comics-graphic-novels
35,paranormal-romance
36,biographies-memoirs
37,politics
38,adult
39,new-adult
40,paranormal
41,humor
42,chick-lit
43,historical-romance
44,thriller
45,christian
46,religion
47,bdsm-romance
48,splatter-punk
49,religion-spirituality
50,urban-fantasy
51,parenting-families
52,health-mind-body
53,race-studies
54,business
55,contemporary-romance
56,cozy
57,young-adult-new-adult
58,graphic-novels
59,comics
60,manga
61,arts-photography
62,classics
63,surrealism
64,sports
65,magical-realism
66,new-adult-romance
67,mythology
68,theater
69,adventure
70,spirituality
71,psychology
72,detective-mystery
73,art
74,animal-fiction
75,essays
76,screenwriter
77,biography
78,alternate-history
79,drama
80,travel
81,science
82,entertainment
83,gonzo-journalism
84,new-adult-young-adult
85,paranormal-fantasy
86,juvenile
87,suspense-paranormal-romance
88,paranormal-and-fantasy
89,dark-romance
90,romantic-suspense
91,erotic-romance
92,erotica
93,litrpg
94,erotic-suspense
95,ebooks
96,romantic-suspense-biker-fiction
97,nature
98,literary-criticism
99,business-investing
100,atheism
101,journalism
102,young-adult-paranormal-fantasy
103,dark-fantasy
104,adult-new-adult-young-adult
105,self-help
106,cooking-food-wine
107,detective-western
108,southern-gothic
109,young-adult-new-adult-adult
110,satire
111,new-adult-historical-fiction
112,western
113,hard-boiled
114,young-adult-paranormal-romance
115,paranormal-fiction
116,folklore
117,fairy-tales
118,anthropology
119,women-s-fiction
120,true-crime
121,sociology
122,science-fiction-urban-fantasy
123,fairytales
124,folk-tales
125,fantasy-paranormal-romance
126,contemporary-romance-new-adult
127,contemp-romance
128,journalist
129,popular-history
130,style-guide
131,memoirs
132,social-sciences
133,gentle-satire
134,relationships
135,israeli-palestinian-conflict
136,women-gender-studies
137,economics
138,psychoanalysis
139,neurology
140,greek-mythology
141,mathematics
142,physics
143,ethics
144,military
145,metaphysics
146,time-travel
147,psychological-thrillers
148,thrillers
149,photojournalism
150,alcoholism-recovery
151,civil-rights
152,tragicomedy
153,dark-erotic-romance
154,game-novelization
155,dark-dominant-men
156,dark-erotica-romance
157,dark-suspense-erotica
158,urban-fiction
159,paranormal-suspense
160,books-for-young-readers
161,literature-nonfiction
162,gothic
163,book-club-fiction-literary-ficti
164,songs-poetry-arts
165,spirituality-philosophy
166,political-economy
167,social-theory
168,development-economics
169,computers
170,social-realism
171,shoujo
172,historical-thriller
173,ya-urban-fantasy
174,ya-horror
175,mystery-thriller
176,speculative-fiction-paranormal
177,upper-ya
178,ya-paranormal-romance
179,historical-urban-fantasy
180,biology
181,evolution
182,history-of-ideas
183,language
184,romantic-comedy
185,dystopian
186,fiction-men-s-adventure
187,urban-magic
188,reformation
189,theology
190,christianity
191,christianity-culture
192,plays
193,military-history
194,paranormal-mystery-romance
195,epic-fantasy
196,ya-fantasy
197,plays-and-drama
198,current-events
199,post-apocalyptic
200,literary-fiction
201,music
202,speculative
203,bizarro-fiction
204,weird-fiction
205,education
206,film
207,mystery-crime
208,historical-fantasy
209,women
210,southern-fiction
211,christian-fiction
212,art-photojournalism
213,medieval-romance
214,comic-books
215,urban-fantasy-romance
216,middle-grade-and-up
217,young-adult-books
218,bdsm
219,pulp-technothriller
220,cyberpunk-science-fiction
221,dark-comedy
222,gay-romance-and-suspense
223,chivalric-romance
224,death
225,mystery-thrillers-particularl
226,historical-mystery
227,school-life
228,fanfiction
229,ya
230,bizzaro
231,bizarro
232,literature
233,firearms
234,military-art-science
235,cold-war-politics
236,u-s-diplomacy-and-culture
237,nuclear-history
238,war
239,military-fiction
240,comedy-humor
241,romance-fiction
242,african-american-studies
243,animals
244,christian-fantasy
245,screen-play
246,short-story
247,novel
248,mature-young-adult
249,self-improvement
250,lesbian-fiction
251,lesbian-romance
252,gardening
253,channeling
254,fan-fiction
255,lesbian-non-fiction
256,business-success
257,creative-nonfiction
258,time-slip
259,rock-fiction
260,historical-fiction-1970s
261,cinema
262,politcs
263,middle-grade
264,enviornment
265,american-civil-war
266,mystery-thriller-suspense
267,superhero-fiction
268,fiction-non-fiction
269,letters
270,war-non-fiction
271,teens
272,military-science
273,erotic
274,dark-erotica
275,goal-achievement
276,life-path
277,psychotherapy-psychoanalysis
278,transactional-analysis
279,feminism
280,professional-technical
281,business-strategy
282,corporate-strategy
283,m-m-romance
284,innovation
285,linguistics
286,computers-internet
287,legal-issues
288,speculative-fiction
289,steamy-romance
290,cookbooks
291,cooking-history
292,home-garden
293,cooking
294,novellas
295,illustrations
296,physiology
297,psychiatry
298,scottish-history
299,canadian-literature
300,movie-tie-ins
301,amish
302,budhdhism
303,cowboy-romance
304,biblical-fiction
305,fashion
306,country-noir
307,malaysian-literature
308,action
309,gay-fiction
310,suspense-thriller-fantasy
311,yaya
312,children-s-middle-grade
313,native-american-sioux
314,superhero
315,historical
316,murder
317,cozy-mystery
318,dystopia
319,playwright
320,allegory
321,stage-plays
322,comedy
323,essayist
324,espionage
325,diaries
326,real-life-experiences
327,law
328,creationism
329,general-fiction
330,women-s-fiction-romance
331,science-fiction-romance
332,ya-contemporary
333,historical-china
334,slipstream
335,young-adult-and-new-adult
336,romantic-fantasy
337,fantasy-romance
338,dark-erotic-romance-suspense
339,catholic-saints
340,magic-realism
341,action-adventure
342,children-s-young-adult
343,thriller-and-horror
344,picture-books
345,middle-grade-fantasy
346,coming-of-age
347,humor-cats-dogs-and-animals
348,dog-training-and-behaviour
349,mysteries-and-thrillers
350,regency-romance
351,lutheranism
352,gay-and-lesbian-m-f
353,lgbtq-contemporary-romance
354,puritan
355,calvinism
356,gay
357,romance-new-adult
358,worldview
359,horror-crime
360,writing
361,crafts-hobbies
362,reference
363,fiksi-remaja
364,crime-fiction
365,fantasy-science-fiction
366,ya-na
367,steampunk
368,shojo
369,yaoi
370,slice-of-life
371,adult-contemporary
372,political-military-affairs
373,middle-east
374,cultural-studies
375,politics-and-social-activism
376,popular-science
377,exploration
378,modern-contemporary-fiction
379,horses
380,horse-racing
381,boxing
382,worldviews
383,english-literature
384,alternative-history
385,mythic-fantasy
386,plays-screenplays
387,m-m-sometimes-m-m-m
388,thriller-suspense
389,gay-lesbian-yaoi-horror-rom
390,political-science
391,africa
392,hunting
393,human-rights
394,editor
395,humanities
396,westerns
397,occult-supernatural
398,science-fiction-travel
399,dark-fantasy-romance
400,mm-romance
401,bdsm-erotica-erotic-romance
402,criticism
403,motivational-speaker
404,strategy
405,boys-love
406,bl
407,hockey
408,existentialism
409,novels
410,science-fiction-new-adult
411,fiction-and-literature
412,divan-edebiyat%C4%B1
413,a%C5%9Fk
414,yuri
415,children-s-fiction
416,social-science-fiction
417,fiction-literature
418,experimental
419,myths-legends
420,classical-liberal
421,political-economist
422,pseudo-history
423,nanotechnology
424,magazine
425,pets
426,zoology
427,humour
428,middle-grade-novel
429,contemporary-fiction
430,christian-apologetics
431,inspirational
432,mind-body-spirit
433,
