id_pays,nom
1,United States
2,France
3,Ireland
4,Poland
5,Afghanistan
6,Germany
7,South Africa
8,United Kingdom
9,Italy
10,Monaco
11,Egypt
12,Canada
13,Portugal
14,Australia
15,Sweden
16,Austria
17,China
18,state
19,Japan
20,India
21,Hungary
22,Stoke on Trent
23,Indonesia
24,Saudi Arabia
25,Iraq
26,Cuba
27,Netherlands
28,Russian Federation
29,Israel
30,Mexico
31,Turkey
32,WW II
33,Brazil
34,Greece
35,Praha
36,Belgium
37,Iceland
38,Romania
39,United Arab Emirates
40,Antarctica
41,Switzerland
42,prison barge
43,Haiti
44,Georgia
45,Philippines
46,Finland
47,Iran
48,Nepal
49,Spain
50,Estonia
51,Kenya
52,Czech Republic
53,Morocco
54,Chile
55,Bangladesh
56,country
57,England
58,Lebanon
59,Disney
60,fiktive
61,Ghana
62,fictional
63,Denmark
64,Benares
65,Marrakesh
66,Ukraine
67,Bosnia and Herzegovina
68,Antigua and Barbuda
69,North America
70,Lithuania
71,Thailand
72,Argentina
73,New Zealand
74,Pakistan
75,Colombia
76,Syrian Arab Republic
77,Ethiopia
78,Marseilles
79,Sudan
80,Viet Nam
81,Norway
82,Peru
83,Equatorial Guinea
84,Cameroon
85,Trinidad and Tobago
86,Charleston area
87,Malta
88,Croatia
89,formerly New York City
90,Turks and Caicos Islands
91,Kazakhstan
92,Taiwan
93,Liechtenstein
94,Hauptstadt
95,Austerlitz
96,Albania
97,Algeria
98,Solomon Islands
99,Puerto Rico
100,Nigeria
101,Jamaica
102,Cambodia
103,Slovakia
104,Cyprus
105,Warthe
106,South Sudan
107,Malaysia
108,Nuiri Sector
109,Latvia
110,Eurasian country
111,Singapore
112,Greenland
113,planet
114,Mongolia
115,Nanjing
116,Botswana
117,Serbia
118,Bulgaria
119,French Polynesia
120,The Land
121,Jordan
122,Caprona
123,Oman
124,Costa Rica
125,Africa
126,Congo
127,Russia
128,aka Yukon Territory
129,MIT
130,location undisclosed
131,Yemen
132,Eritrea
133,Slovenia
134,French Guiana
135,Dominican Republic
136,Fae
137,Planet
138,Oslo
139,Zimbabwe
140,Ecuador
141,Somalia
142,island
143,Lower Elements
144,United Inscapes of America
145,Auschwitz
146,UK
147,lost colony
148,demon world
149,Sri Lanka
150,Uruguay
151,Uzbekistan
152,Mali
153,Moldova
154,Panama
155,Zamonien
156,Tunisia
157,Kaesong
158,WW I
159,under the sea
160,USE
161,Libya
162,Central African Republic
163,Azerbaijan
