id_series,seriesName
1,Private 
2,Timeless Love 
3,Above the Line 
4,Pendergast 
5,Ast
6,Winnie
7,The Cinder Spires 
8,Mario Puzo
9,Halfblood Chronicles 
10,Silence 
11,"All My Love, Detrick "
12,New Species 
13,Firebird 
14,Mary Russell and Sherlock Holmes 
15,Psy
16,Circle of Magic 
17,The Circle Reforged 
18,Cody Gunner 
19,Leven Thumps 
20,The Princess Diaries 
21,Tomorrow 
22,Th
23,The Killing of Historical Figures
24,Through a Glass Darkly 
25,Wind on Fire 
26,The Gideon Trilogy 
27,St. Leger 
28,Warriors
29,The Mediator 
30,Peeps 
31,The Descent 
32,Daughters 
33,The Last Dragon Chronicles 
34,Sigma Force 
35,The Demonata 
36,Haunting Violet 
37,Genesis of Shannara 
38,The Romanovs 
39,Jack Blank Adventure 
40,Stage Dive 
41,Commissario Brunetti 
42,Alastair
43,Harley Quin 
44,Soulfinders 
45,Lorien Legacies
46,Communion 
47,The Red Queen
48,Kleopatra 
49,Alex Cross 
50,Bishop
51,Deep Valley 
52,Duncton Chronicles 
53,Argeneau 
54,Elfhome 
55,Children of the Lamp 
56,Gossip Girl 
57,Brides of the Kindred 
58,Rescue Me Saga 
59,Tintin 
60,Miss Marple 
61,The Little Lady Agency 
62,The House of Niccol
63,Elizabeth I 
64,The Prince of Nothing 
65,The Iron Druid Chronicles 
66,Wait for You 
67,Faerie Tale Collection 
68,Stephanie Plum 
69,MILA 
70,L
71,Little House 
72,Women of Genesis 
73,Gabriel Allon 
74,All Creatures Great and Small 
75,New Orleans 
76,Manawaka Sequence
77,The Growth Trilogy 
78,Great Books in Philosophy
79,Finding Anna 
80,Kefahuchi Tract 
81,The Penderwicks 
82,Undead 
83,If You Give...
84,Vampire Kisses
85,Winds of Change 
86,The Last Vampire 
87,Fruits Basket 
88,Elspeth Huxley
89,Michael Bennett 
90,Smoky Barrett 
91,Evolve 
92,Little Women 
93,La Com
94,Harry Bosch 
95,Mitch Rapp 
96,The Three 
97,Percy Jackson 
98,The Dark Is Rising 
99,The History of Middle
100,The Darcy Saga 
101,The Mother
102,Cork O
103,The Civil War 
104,The Sisters Grimm 
105,Professor Shonku 
106,Key Trilogy 
107,Falling 
108,Riley Jenson Guardian 
109,Havemercy 
110,Wideacre 
111,Nobody
112,Indebted 
113,Chicagoland Vampires 
114,I Hunt Killers 
115,Tobie Lolness 
116,Fj
117,Discworld 
118,Judy Moody 
119,Sianim 
120,Sky Chasers 
121,The History of Sexuality 
122,How to Train Your Dragon 
123,Searching For 
124,Red Dwarf 
125,Alaskan Courage 
126,A Dance to the Music of Time 
127,Generation Dead 
128,Landry 
129,Bareback 
130,Palliser 
131,The Kommandant
132,In Death 
133,Crow
134,Dark 
135,Nightshade Prequel 
136,Ostap Bender 
137,The Girl at Midnight 
138,Bridgertons 
139,The Spellmans 
140,Sleepless 
141,The Complete Peanuts 
142,Bernie Gunther 
143,Green Rider 
144,Ben Hope 
145,Capital 
146,Dreaming Anastasia 
147,Blossom Street 
148,Il romanzo di Ferrara 
149,Dead Beautiful 
150,The Circle 
151,Zion Covenant 
152,Chester Cricket and His Friends 
153,Kay Scarpetta 
154,A Fan
155,The Hinges of History 
156,Night
157,Vampire Kisses 
158,Women of the West 
159,The Soulkeepers 
160,Wars of the Roses 
161,Warriors Manga
162,Hogwarts Library
163,Lords of the Underworld 
164,Star
165,The Murderbot Diaries 
166,The Tale of Lanen Kaelar 
167,Capitol Theatre 
168,The Unicorn Chronicles 
169,Gone With the Respiration 
170,Marked Men 
171,Shadow Falls
172,The Five Towns 
173,Rutshire Chronicles 
174,Wallflowers 
175,Masters of Rome 
176,The Other Life 
177,Brown Family 
178,The Sharing Knife 
179,Flavia de Luce 
180,Ice Planet Barbarians 
181,Fudge 
182,Matthew Shardlake 
183,Royal We 
184,Aurelia 
185,John Sutter 
186,Texas 
187,The Last Dragonslayer 
188,The U.S.A. Trilogy 
189,Harlan
190,Voyage of the Jerle Shannara 
191,The Remembrance Trilogy 
192,Demonica 
193,Goethe
194,GhostWalkers 
195,Stone Barrington 
196,The Shamer Chronicles 
197,Maura Ryan 
198,Empire Trilogy 
199,Dreamhouse Kings 
200,Naamah Trilogy 
201,Star Wars
202,The Once and Future King 
203,The Quantock Quartet 
204,In the Garden 
205,The Shogun Quartet 
206,Asian Saga
207,Guardians of Eternity 
208,The Sea of Fertility 
209,Spirit Guide 
210,Rebekka Franck 
211,Los c
212,Sarny 
213,Blood Ties 
214,Ancient Legends 
215,The Indignities 
216,Twisted Fairy Tales 
217,Patronus 
218,Blood of Ages 
219,The Riddle in Stone 
220,Cosmic Aviators 
221,Red Like the Letter 
222,The Bane Chronicles 
223,Surrender Your Love 
224,Love at Last 
225,Touch 
226,The Chronicles of St Mary
227,Forbidden 
228,Last Stand of the Gods Trilogy 
229,Percy Jackson and the Olympians
230,The Morganville Vampires 
231,Brent Marks Legal Thrillers 
232,The Three Immortal Blades 
233,Collide 
234,The Keeper 
235,Valeria 
236,Rockstar 
237,Carnelyan Pack 
238,Alice 
239,Nick Baron 
240,The Famous Five 
241,The Anunnaki Chronicles 
242,The Arclight Saga 
243,Gray Ghost 
244,A Fairytale Retelling 
245,Dreaming of Wonderland 
246,Blossom in Winter 
247,Young Wizards 
248,Magdalene Line Trilogy 
249,Calvin and Hobbes 
250,Dawn 
251,The Jungle Book 
252,Mystic Deja 
253,Flame of Destiny 
254,DI Kate Burrows 
255,Pride 
256,Zone Unknown 
257,Dreadnought 
258,The Exemeus 
259,Finding Ava 
260,Brie 
261,Chocolate Lovers 
262,Born in Flames Trilogy 
263,The Prophecy Series 
264,Hot
265,Bentwhistle the Dragon 
266,The Torch Keeper 
267,Sammy Keyes 
268,Famous 
269,Epic of the Kaurava Clan 
270,The Lost Souls MC 
271,Dead City 
272,Deviant 
273,Young Samurai 
274,Andy McNab
275,PRG Investigations 
276,The Darkest Minds 
277,Wizards of Seattle 
278,The Traitor Spy Trilogy 
279,San Diego K
280,The Wages of Sin 
281,The Anonymous Man 
282,The Vein Chronicles 
283,Chronicles of Alsea 
284,Dreams 
285,Eve of Man 
286,Super Indy 
287,Judges 
288,Renegades 
289,The Sideways Trilogy 
290,Wild Cards 
291,A Vida No Mundo Espiritual 
292,Mon
293,Dark Ones 
294,Le
295,Ohio Books 
296,Caged 
297,Faeriewalker 
298,Outside 
299,Elvis Cole and Joe Pike 
300,George Smiley 
301,Medina 
302,Fly by Night 
303,Fallen Star 
304,Void 
305,Avalon Trilogy 
306,Earth Angel Trilogy 
307,Portero Universe
308,Woodcutter Sisters 
309,Monster 
310,Savor Us 
311,The Story of Civilization 
312,Torka aldrig t
313,Katerina 
314,Warblers Point 
315,Zorn Warriors 
316,Thirteen Treasures 
317,Fullmetal Alchemist
318,Lights of Peril 
319,The PSS Chronicles 
320,The Crawford Brothers 
321,The Cat
322,Rushed 
323,Underestimated 
324,Coco Pinchard 
325,Autre
326,The Naturals 
327,Sinners of Saint 
328,Fever Crumb Series 
329,Tainted Hearts 
330,The Band 
331,Monogatari 
332,The Chronicles of Narnia Chronological Order
333,Rock Harbor 
334,What My Mother Doesn
335,Shark Girl 
336,No
337,Nira
338,The Wiccan Diaries 
339,American Amaranth 
340,Jillian Jiggs
341,Wicked Elementals 
342,The Dark Legacy of Shannara 
343,Peter Brown 
344,Sword of Truth 
345,The Dufus Diaries 
346,Die Elfen 
347,Legacy of the Drow 
348,Fairly
349,Shadowdance 
350,Greywalker 
351,Day Human Trilogy 
352,Painted Faces 
353,Islands at the End of the World 
354,Come Back to Me 
355,Breathing 
356,Hazelwood High 
357,Rama 
358,Abuse 
359,Behind Blue Eyes 
360,The Next Together 
361,Covenant of Shadows 
362,Until the End of the World 
363,Storm and Silence 
364,Paradox 
365,The Flames Trilogy 
366,The Austens 
367,The Peripheral 
368,Three Dark Crowns 
369,The Starlight Chronicles 
370,Reign of Secrets 
371,Super Indy
372,Exit 
373,Deep World Saga 
374,The Spinster Club 
375,The Snow
376,Fault Lines 
377,Wolverine
378,The Tripods 
379,Chocolate War 
380,Atherton 
381,Colshannon 
382,Nikki Heat 
383,Caddie Woodlawn 
384,Shelby Nichols 
385,Darkangel Trilogy 
386,The Acts of Caine 
387,Peter and the Starcatchers 
388,Ishmael 
389,The Twilight Saga
390,The Widow Makers 
391,Blackfeather 
392,The Emperor
393,Johnny the Homicidal Maniac 
394,Hank Thompson 
395,The Expanse 
396,Flynn Laukonen 
397,Good Night Stories for Rebel Girls 
398,Cicero 
399,Ishmael Leseur 
400,Tribesman 
401,Fever 
402,The Horus Heresy 
403,Tales of the Otori 
404,Cole 
405,Myron Bolitar 
406,Yearning Series 
407,Warriors 
408,The Ghost Bird 
409,Afterlife Saga 
410,The Undergrad Years 
411,La trilogie des jumeaux 
412,From the New World Novel
413,Black and White 
414,The Guardian Herd 
415,Space Wolf 
416,The Damned Hunger Chronicles 
417,Kay
418,Manwhore 
419,The Kissing Booth 
420,Breathless 
