id_cadre,annee,localisation,id_pays
1,,"Bloomington, Indiana",1
2,,New York State,1
3,,"New York City, New York",1
4,,Maine,1
5,,Florida,1
6,,"Fakahatchee Strand State Preserve, Florida",1
7,,"San Francisco, California",1
9,,"New York City, New York",1
10,,"New York City, New York",1
11,,"Portland, Oregon",1
12,,United States of America Idaho,1
13,,"Washington, D.C.",1
14,,"London, England New York City, New York",1
15,,"Seattle, Washington",1
16,,Mankato,1
17,,Minnesota,1
19,,"Pittsburgh, Pennsylvania",1
20,,New York State,1
21,,"New York City, New York",1
22,,"Alexandria, Virginia",1
23,,"Trenton, New Jersey",1
24,,Minnesota,1
25,1885.0,"De Smet, South Dakota",1
26,,"New Orleans, Louisiana",1
27,,Alabama,1
28,,"New York City, New York",1
29,,Texas,1
30,,"Indianapolis, Indiana",1
31,,"St. Paul, Minnesota",1
32,,Minnesota,1
33,,"Feathertown, Tennessee",1
38,,Appalachia,1
43,,Maine,1
44,,"New York City, New York",1
45,,"Dallas, Texas",1
52,,"Los Angeles, California",1
54,,"Las Vegas, New Mexico",1
56,,"Los Angeles, California",1
58,,"Pleasant Valley, Pennsylvania",1
59,,Independence,1
60,,Nebraska,1
61,,"Chicago, Illinois",1
62,,New Jersey,1
64,,"Yancey, Alaska",1
66,,Alaska,1
68,,Oakvale High School,1
69,,Louisiana,1
70,,Arkansas,1
71,2058.0,"New York City, New York",1
73,,"Washington, D.C.",1
74,,Texas,1
75,,"United States of America Baltimore, Maryland",1
76,,Connecticut,1
77,,"San Francisco, California",1
82,,New Jersey,1
83,,"Seattle, Washington",1
84,,New York State,1
88,,"New York City, New York",1
92,,Vermont,1
93,,"New York City, New York",1
94,,New York State,1
97,,"Chicago, Illinois",1
100,,United States of America Tennessee,1
101,,Appalachia,1
102,2060.0,"New York City, New York",1
105,2060.0,"Dallas, Texas",1
108,,Granite Falls,1
109,,"Isles of Shoals, Maine",1
111,,"Nashville, Tennessee",1
112,,"Denver, Colorado",1
113,,Colorado,1
114,,Texas,1
115,2009.0,"Seattle, Washington",1
116,,s Upper East Side,1
117,,"Muscatine, Iowa",1
118,,"Dallas, Texas",1
119,,New York State,1
120,,Utah,1
121,,"New York City, New York",1
122,,"Portland, Oregon",1
123,,"New York City, New York",1
124,,"New York City, New York",1
125,1924.0,Vermont,1
128,,"Pinedale, California",1
129,,"Memphis, Tennessee",1
130,,"Knoxville, Tennessee",1
133,,Missouri,1
134,,"Wakefield, Maine",1
135,,"Roanoke, Virginia",1
136,,New York State,1
137,,"Cambridge, Massachusetts",1
138,,"Edinburgh, Scotland Hollywood, California",1
139,,Florida,1
140,,"New York City, New York",1
141,,"Ursus County, Maine",1
142,,Arkansas,1
144,,Ohio,1
145,,"New York City, New York",1
146,,New York State,1
147,,"Santa Ynez, California",1
148,1912.0,"Phippsburg, Maine",1
152,1912.0,"Malaga Island, Maine",1
156,,Ohio,1
157,,Florida,1
158,,"Hollywood, California",1
162,,Oregon,1
163,,"Las Vegas, Nevada",1
164,,"Seattle, Washington",1
165,,"Las Vegas, Nevada",1
166,,"New York City, New York",1
167,,"Todos Santos, California",1
168,,"San Diego, California",1
169,,"New York City, New York",1
172,1947.0,"Baltimore, Maryland",1
173,1952.0,"Manhattan, New York City, New York",1
174,,"Cambridge, Massachusetts",1
179,,"Denver, Colorado",1
180,,Virginia,1
181,,New York State,1
182,,"Boyds, Maryland",1
184,,Wisconsin,1
185,,"Utopia County, Wyoming",1
186,,Hawaii,1
187,,"New York City, New York",1
188,,"Seattle, Washington",1
189,0.0,"Mount Desert Island, Maine",1
190,,Sierra Nevada,1
192,,"New York City, New York",1
193,,New Jersey,1
194,,"New York City, New York",1
195,,"New York City, New York",1
196,,Wisconsin,1
198,,Montana,1
199,,"New York City, New York",1
200,,"Red Falls, Vermont",1
201,,"England Seattle, Washington",1
202,,"Los Angeles, California",1
203,,New York State,1
204,,"more Portland, Oregon",1
205,,"New York City, New York",1
206,,"Chicago, Illinois",1
207,,"San Francisco, California",1
208,,Lake Tahoe,1
209,,California,1
210,,"Chicago, Illinois",1
211,,"Glasgow, Scotland Orlando, Florida",1
212,,Mojave Desert,1
213,,"New York City, New York",1
214,,Tennessee,1
215,,New Mexico Territory,1
216,,Montana,1
217,1867.0,"more Abilene, Kansas",1
218,,"Bloomington, Indiana",1
219,1935.0,"Alcatraz Island, San Francisco, California",1
225,,California,1
231,,New Mexico,1
232,,"Philadelphia, Pennsylvania",1
233,,Illinois,1
234,1997.0,"Monroe, North Carolina",1
235,,"Baltimore, Maryland",1
236,,Delaware,1
237,,more Maryland,1
238,,"Baltimore, Maryland",1
239,,Maryland,1
240,,"s Island, South Carolina",1
241,,"Chicago, Illinois",1
242,,"New York City, New York",1
243,,"St. Louis, Missouri",1
244,,Texas,1
245,,Texas,1
246,,Mississippi,1
247,,"New Orleans, Louisiana",1
248,,"New Orleans, Louisiana",1
249,,California,1
250,,"more Los Angeles, California",1
251,,"Pasadena, California",1
252,,Strattenburg,1
254,,Strattenburg,1
255,2007.0,"Pawhuska, Oklahoma",1
256,,Wyoming,1
257,,Alaska,1
258,,Maine,1
259,1938.0,"Lowell, Massachusetts",1
260,2008.0,New York State,1
261,,"New York City, New York",1
262,,Scotland Louisiana,1
263,,more Louisiana bayou,1
264,,Mississippi,1
265,,"Plainview, Indiana",1
266,,"Boston, Massachusetts",1
269,,"Glasgow, Scotland Orlando, Florida",1
270,,"New York City, New York",1
271,,"New York City, New York",1
272,,"San Francisco, California",1
273,2019.0,"Jefferson, Texas",1
274,,"a De La Luna, California",1
276,,"s Island, South Carolina",1
277,,South Carolina,1
278,,California,1
279,,South Carolina,1
280,,California,1
281,,"Los Angeles, California",1
282,,South Carolina,1
283,,Maine,1
284,,"Clyde, Colorado",1
285,,"Denver, Colorado",1
286,,Maryland,1
287,,"Portland, Oregon",1
288,,"The Hamptons, New York",1
289,,New York State,1
290,,"Las Vegas, Nevada",1
291,,"Manhattan, New York City, New York",1
292,,"Los Angeles, California",1
294,,"San Quentin State Prison, California",1
295,,"Finger Lakes Region, New York",1
296,,"Los Angeles, California",1
297,,"Detroit, Michigan",1
298,,Illinois,1
299,,England New York State,1
300,,Pennsylvania,1
301,,Vermont,1
302,,"Brockport, New York",1
303,,"Los Angeles, California",1
306,,"Peyton Place, New Hampshire",1
307,1956.0,New Hampshire,1
308,,Ohio,1
309,,Montana,1
310,,"New York City, New York",1
311,,New York State,1
312,,Nevada,1
313,,Texas,1
314,,"New York City, New York",1
316,,New York State,1
317,,"Rosewood, Pennsylvania",1
318,,"Seattle, Washington",1
319,,"Natchez, Mississippi",1
320,,"Prescott, Montana",1
321,,Vermont,1
322,,California,1
323,,"Denver, Colorado",1
324,,"Coda, Colorado",1
325,,Colorado,1
326,2013.0,"Cincinnati, Ohio",1
327,2013.0,"New York City, New York",1
328,,"New York City, New York",1
329,2009.0,"Minneapolis, Minnesota",1
330,,"Johnson City, Texas",1
332,,"Washington, D.C.",1
334,1978.0,"San Francisco, California",1
335,,"Palmetto, South Carolina",1
336,1990.0,"New York City, New York",1
337,1976.0,"Palmetto, South Carolina",1
338,1981.0,"more Atlanta, Georgia",1
339,1977.0,"Morgantown, West Virginia",1
340,1978.0,"Columbia, South Carolina",1
341,1983.0,"Tallahassee, Florida",1
342,2011.0,"Muddy Gap, Wyoming",1
343,,Wyoming,1
344,,Maine,1
345,,"Lovecraft, Massachusetts",1
349,,"Lovecraft, Massachusetts",1
